year,Global_temp,Hanoi_temp
1840,7.8,21
1841,7.69,21.3
1842,8.02,21.16
1843,8.17,21.26
1844,7.65,20.78
1845,7.85,20.68
1846,8.55,21.25
1847,8.09,20.83
1848,7.98,20.73
1849,7.98,20.94
1850,7.9,21.11
1851,8.18,21.26
1852,8.1,21.12
1853,8.04,21.51
1854,8.21,21.45
1855,8.11,21.1
1856,8,20.69
1857,7.76,20.89
1858,8.1,21.1
1859,8.25,21.24
1860,7.96,21.12
1861,7.85,20.95
1862,7.56,20.48
1863,8.11,20.9
1864,7.98,20.77
1865,8.18,21.41
1866,8.29,21.24
1867,8.44,21.4
1868,8.25,21.53
1869,8.43,21.18
1870,8.2,21.35
1871,8.12,21.3
1872,8.19,21.47
1873,8.35,21.32
1874,8.43,21.4
1875,7.86,21.1
1876,8.08,20.9
1877,8.54,21.36
1878,8.83,21.69
1879,8.17,21.55
1880,8.12,20.99
1881,8.27,21.27
1882,8.13,21.18
1883,7.98,20.83
1884,7.77,20.57
1885,7.92,20.88
1886,7.95,20.95
1887,7.91,21.03
1888,8.09,21.43
1889,8.32,21.46
1890,7.97,21.54
1891,8.02,21.41
1892,8.07,20.7
1893,8.06,20.68
1894,8.16,21.15
1895,8.15,21.35
1896,8.21,21.32
1897,8.29,21.5
1898,8.18,21.47
1899,8.4,21.15
1900,8.5,21.21
1901,8.54,21.38
1902,8.3,22.07
1903,8.22,21.07
1904,8.09,21.33
1905,8.23,21.22
1906,8.38,21.71
1907,7.95,21.3
1908,8.19,21.06
1909,8.18,21.43
1910,8.22,21.16
1911,8.18,21.65
1912,8.17,21.39
1913,8.3,21.14
1914,8.59,22.07
1915,8.59,21.9
1916,8.23,21.07
1917,8.02,20.67
1918,8.13,21.11
1919,8.38,21.8
1920,8.36,21.6
1921,8.57,21.55
1922,8.41,21.72
1923,8.42,22.04
1924,8.51,21.81
1925,8.53,21.08
1926,8.73,21.46
1927,8.52,21.54
1928,8.63,21.51
1929,8.24,21.57
1930,8.63,21.42
1931,8.72,22.02
1932,8.71,21.21
1933,8.34,21.55
1934,8.63,21.13
1935,8.52,22.04
1936,8.55,21.28
1937,8.7,22.04
1938,8.86,21.89
1939,8.76,21.67
1940,8.76,21.77
1941,8.77,22.21
1942,8.73,22.24
1943,8.76,21.98
1944,8.85,21.94
1945,8.58,21.6
1946,8.68,22.91
1947,8.8,21.9
1948,8.75,22.01
1949,8.59,21.98
1950,8.37,21.9
1951,8.63,21.72
1952,8.64,22.34
1953,8.87,22.05
1954,8.56,21.99
1955,8.63,21.61
1956,8.28,21.45
1957,8.73,21.93
1958,8.77,21.88
1959,8.73,21.82
1960,8.58,22.05
1961,8.8,22.03
1962,8.75,21.61
1963,8.86,21.88
1964,8.41,21.74
1965,8.53,22.09
1966,8.6,22.38
1967,8.7,21.32
1968,8.52,21.67
1969,8.6,21.88
1970,8.7,21.6
1971,8.6,21.29
1972,8.5,21.86
1973,8.95,22.24
1974,8.47,21.54
1975,8.74,21.96
1976,8.35,21.35
1977,8.85,21.75
1978,8.69,21.81
1979,8.73,22.08
1980,8.98,22.08
1981,9.17,22.06
1982,8.64,21.86
1983,9.03,21.56
1984,8.69,21.36
1985,8.66,21.46
1986,8.83,21.9
1987,8.99,22.71
1988,9.2,21.78
1989,8.92,21.72
1990,9.23,22.23
1991,9.18,22.16
1992,8.84,21.49
1993,8.87,21.75
1994,9.04,21.98
1995,9.35,21.51
1996,9.04,21.32
1997,9.2,21.92
1998,9.52,22.65
1999,9.29,22.07
2000,9.2,21.8
2001,9.41,21.79
2002,9.57,22.13
2003,9.53,22.62
2004,9.32,21.79
2005,9.7,21.91
2006,9.53,22.37
2007,9.73,22.26
2008,9.43,21.37
2009,9.51,22.59
2010,9.7,22.57
2011,9.52,21.03
2012,9.51,22.09
2013,9.61,23.1
