year,avg_temp,,,,
1840,21,,,,
1841,21.3,,,,
1842,21.16,,,,
1843,21.26,,,,
1844,20.78,,,,
1845,20.68,,,,
1846,21.25,,,,
1847,20.83,,,,
1848,20.73,,,,
1849,20.94,,,,
1850,21.11,,,,
1851,21.26,,,,
1852,21.12,,,,
1853,21.51,,,,
1854,21.45,,,,
1855,21.1,,,,
1856,20.69,,,,
1857,20.89,,,,
1858,21.1,,,,
1859,21.24,,,,
1860,21.12,,,,
1861,20.95,,,,
1862,20.48,,,,
1863,20.9,,,,
1864,20.77,,,,
1865,21.41,,,,
1866,21.24,,,,
1867,21.4,,,,AVERAGE
1868,21.53,,,,22.05
1869,21.18,,,,
1870,21.35,,,,
1871,21.3,,,,
1872,21.47,,,,
1873,21.32,,,,
1874,21.4,,,,
1875,21.1,,,,
1876,20.9,,,,
1877,21.36,,,,
1878,21.69,,,,
1879,21.55,,,,
1880,20.99,,,,
1881,21.27,,,,
1882,21.18,,,,
1883,20.83,,,,
1884,20.57,,,,
1885,20.88,,,,
1886,20.95,,,,
1887,21.03,,,,
1888,21.43,,,,
1889,21.46,,,,
1890,21.54,,,,
1891,21.41,,,,
1892,20.7,,,,
1893,20.68,,,,
1894,21.15,,,,
1895,21.35,,,,
1896,21.32,,,,
1897,21.5,,,,
1898,21.47,,,,
1899,21.15,,,,
1900,21.21,,,,
1901,21.38,,,,
1902,22.07,,,,
1903,21.07,,,,
1904,21.33,,,,
1905,21.22,,,,
1906,21.71,,,,
1907,21.3,,,,
1908,21.06,,,,
1909,21.43,,,,
1910,21.16,,,,
1911,21.65,,,,
1912,21.39,,,,
1913,21.14,,,,
1914,22.07,,,,
1915,21.9,,,,
1916,21.07,,,,
1917,20.67,,,,
1918,21.11,,,,
1919,21.8,,,,
1920,21.6,,,,
1921,21.55,,,,
1922,21.72,,,,
1923,22.04,,,,
1924,21.81,,,,
1925,21.08,,,,
1926,21.46,,,,
1927,21.54,,,,
1928,21.51,,,,
1929,21.57,,,,
1930,21.42,,,,
1931,22.02,,,,
1932,21.21,,,,
1933,21.55,,,,
1934,21.13,,,,
1935,22.04,,,,
1936,21.28,,,,
1937,22.04,,,,
1938,21.89,,,,
1939,21.67,,,,
1940,21.77,,,,
1941,22.21,,,,
1942,22.24,,,,
1943,21.98,,,,
1944,21.94,,,,
1945,21.6,,,,
1946,22.91,,,,
1947,21.9,,,,
1948,22.01,,,,
1949,21.98,,,,
1950,21.9,,,,
1951,21.72,,,,
1952,22.34,,,,
1953,22.05,,,,
1954,21.99,,,,
1955,21.61,,,,
1956,21.45,,,,
1957,21.93,,,,
1958,21.88,,,,
1959,21.82,,,,
1960,22.05,,,,
1961,22.03,,,,
1962,21.61,,,,
1963,21.88,,,,
1964,21.74,,,,
1965,22.09,,,,
1966,22.38,,,,
1967,21.32,,,,
1968,21.67,,,,
1969,21.88,,,,
1970,21.6,,,,
1971,21.29,,,,
1972,21.86,,,,
1973,22.24,,,,
1974,21.54,,,,
1975,21.96,,,,
1976,21.35,,,,
1977,21.75,,,,
1978,21.81,,,,
1979,22.08,,,,
1980,22.08,,,,
1981,22.06,,,,
1982,21.86,,,,
1983,21.56,,,,
1984,21.36,,,,
1985,21.46,,,,
1986,21.9,,,,
1987,22.71,,,,
1988,21.78,,,,
1989,21.72,,,,
1990,22.23,,,,
1991,22.16,,,,
1992,21.49,,,,
1993,21.75,,,,
1994,21.98,,,,
1995,21.51,,,,
1996,21.32,,,,
1997,21.92,,,,
1998,22.65,,,,
1999,22.07,,,,
2000,21.8,,,,
2001,21.79,,,,
2002,22.13,,,,
2003,22.62,,,,
2004,21.79,,,,
2005,21.91,,,,
2006,22.37,,,,
2007,22.26,,,,
2008,21.37,,,,
2009,22.59,,,,
2010,22.57,,,,
2011,21.03,,,,
2012,22.09,,,,
2013,23.1,,,,
